assembly	cs_chr	Jagger_tgt_chr	n_anchors	Jagger_mean_anchor_gap_Mb	Jagger_interp_type	n_segments	Jagger_mean_anchor_fraction	Lancer_tgt_chr	Lancer_mean_anchor_gap_Mb	Lancer_interp_type	Lancer_mean_anchor_fraction	ArinaLrFor_tgt_chr	ArinaLrFor_mean_anchor_gap_Mb	ArinaLrFor_interp_type	ArinaLrFor_mean_anchor_fraction	Stanley_tgt_chr	Stanley_mean_anchor_gap_Mb	Stanley_interp_type	Stanley_mean_anchor_fraction	Spelt_tgt_chr	Spelt_mean_anchor_gap_Mb	Spelt_interp_type	Spelt_mean_anchor_fraction	Mace_tgt_chr	Mace_mean_anchor_gap_Mb	Mace_interp_type	Mace_mean_anchor_fraction	SY_Mattis_tgt_chr	SY_Mattis_mean_anchor_gap_Mb	SY_Mattis_interp_type	SY_Mattis_mean_anchor_fraction	Julius_tgt_chr	Julius_mean_anchor_gap_Mb	Julius_interp_type	Julius_mean_anchor_fraction	Landmark_tgt_chr	Landmark_mean_anchor_gap_Mb	Landmark_interp_type	Landmark_mean_anchor_fraction	Norin61_tgt_chr	Norin61_mean_anchor_gap_Mb	Norin61_interp_type	Norin61_mean_anchor_fraction	Aikang58_tgt_chr	Aikang58_mean_anchor_gap_Mb	Aikang58_interp_type	Aikang58_mean_anchor_fraction	Chuanmai104_tgt_chr	Chuanmai104_mean_anchor_gap_Mb	Chuanmai104_interp_type	Chuanmai104_mean_anchor_fraction	CS_IAAS_tgt_chr	CS_IAAS_mean_anchor_gap_Mb	CS_IAAS_interp_type	CS_IAAS_mean_anchor_fraction	CS_CAU_tgt_chr	CS_CAU_mean_anchor_gap_Mb	CS_CAU_interp_type	CS_CAU_mean_anchor_fraction	Sumai3_tgt_chr	Sumai3_mean_anchor_gap_Mb	Sumai3_interp_type	Sumai3_mean_anchor_fraction	JIN50_tgt_chr	JIN50_mean_anchor_gap_Mb	JIN50_interp_type	JIN50_mean_anchor_fraction	MOV_tgt_chr	MOV_mean_anchor_gap_Mb	MOV_interp_type	MOV_mean_anchor_fraction	CS_v1_tgt_chr	CS_v1_mean_anchor_gap_Mb	CS_v1_interp_type	CS_v1_mean_anchor_fraction	Fielder_tgt_chr	Fielder_mean_anchor_gap_Mb	Fielder_interp_type	Fielder_mean_anchor_fraction	Kariega_tgt_chr	Kariega_mean_anchor_gap_Mb	Kariega_interp_type	Kariega_mean_anchor_fraction	Attraktion_tgt_chr	Attraktion_mean_anchor_gap_Mb	Attraktion_interp_type	Attraktion_mean_anchor_fraction	Renan_v2_tgt_chr	Renan_v2_mean_anchor_gap_Mb	Renan_v2_interp_type	Renan_v2_mean_anchor_fraction	Paragon_v3_tgt_chr	Paragon_v3_mean_anchor_gap_Mb	Paragon_v3_interp_type	Paragon_v3_mean_anchor_fraction	Cadenza_v2_tgt_chr	Cadenza_v2_mean_anchor_gap_Mb	Cadenza_v2_interp_type	Cadenza_v2_mean_anchor_fraction
CS_CAU	Chr2D		5847			1																																																		Chr2D	0.112	linear	0.991																																								
CS_CAU	Chr3A		5200			1																																																		Chr3A	0.145	linear	0.994																																								
CS_CAU	Chr3B		5876			1																																																		Chr3B	0.145	linear	0.987																																								
CS_CAU	Chr3D		4786			1																																																		Chr3D	0.125	linear	0.962																																								
CS_CAU	Chr4A		4284			1																																																		Chr4A	0.176	linear	0.826																																								
CS_CAU	Chr4B		3846			1																																																		Chr4B	0.175	linear	0.992																																								
CS_CAU	Chr4D		3559			1																																																		Chr4D	0.145	pchip	0.992																																								
CS_CAU	Chr5A		5415			1																																																		Chr5A	0.131	linear	0.994																																								
CS_CAU	Chr5B		5468			1																																																		Chr5B	0.131	linear	0.956																																								
CS_CAU	Chr5D		5526			1																																																		Chr5D	0.103	linear	0.991																																								
CS_CAU	Chr6A		4118			1																																																		Chr6A	0.151	pchip	0.992																																								
CS_CAU	Chr6B		4468			1																																																		Chr6B	0.164	linear	0.889																																								
CS_CAU	Chr6D		3962			1																																																		Chr6D	0.125	linear	0.992																																								
CS_CAU	Chr7A		5521			1																																																		Chr7A	0.135	linear	0.992																																								
CS_CAU	Chr7B		4773			1																																																		Chr7B	0.16	linear	0.942																																								
CS_CAU	Chr7D		5372			1																																																		Chr7D	0.12	linear	0.991																																								
Sumai3	Chr1A		3880			1																																																						Chr1A	0.154	linear	0.934																																				
Sumai3	Chr1B		4343			1																																																						Chr1B	0.161	linear	0.911																																				
Sumai3	Chr1D		4390			1																																																						Chr1D	0.114	linear	0.98																																				
Sumai3	Chr2A		5446			1																																																						Chr2A	0.144	linear	0.9																																				
Sumai3	Chr2B		5663			1																																																						Chr2B	0.143	linear	0.894																																				
Sumai3	Chr2D		5667			1																																																						Chr2D	0.115	linear	0.976																																				
Sumai3	Chr3A		5001			1																																																						Chr3A	0.151	linear	0.968																																				
Sumai3	Chr3B		4738			1																																																						Chr3B	0.179	linear	0.772																																				
Sumai3	Chr3D		4729			1																																																						Chr3D	0.13	linear	0.955																																				
Sumai3	Chr4A		3748			1																																																						Chr4A	0.2	linear	0.771																																				
Sumai3	Chr4B		3571			1																																																						Chr4B	0.189	linear	0.796																																				
Sumai3	Chr4D		3491			1																																																						Chr4D	0.147	linear	0.979																																				
Sumai3	Chr5A		5286			1																																																						Chr5A	0.135	linear	0.979																																				
Sumai3	Chr5B		5189			1																																																						Chr5B	0.138	linear	0.894																																				
Sumai3	Chr5D		5464			1																																																						Chr5D	0.104	linear	0.986																																				
Sumai3	Chr6A		3925			1																																																						Chr6A	0.159	linear	0.971																																				
Sumai3	Chr6B		3925			1																																																						Chr6B	0.186	linear	0.83																																				
Sumai3	Chr6D		3860			1																																																						Chr6D	0.128	linear	0.982																																				
Sumai3	Chr7A		4933			1																																																						Chr7A	0.151	linear	0.923																																				
Sumai3	Chr7B		4361			1																																																						Chr7B	0.175	linear	0.903																																				
Sumai3	Chr7D		5067			1																																																						Chr7D	0.126	linear	0.965																																				
JIN50	Chr1A		4018			1																																																										Chr1A	0.148	linear	0.952																																
JIN50	Chr1B		4157			1																																																										Chr1B	0.168	linear	0.855																																
JIN50	Chr1D		4356			1																																																										Chr1D	0.114	linear	0.973																																
JIN50	Chr2A		4918			1																																																										Chr2A	0.156	linear	0.876																																
JIN50	Chr2B		5602			1																																																										Chr2B	0.145	linear	0.923																																
JIN50	Chr2D		5743			1																																																										Chr2D	0.114	linear	0.978																																
JIN50	Chr3A		4990			1																																																										Chr3A	0.15	linear	0.971																																
JIN50	Chr3B		4506			1																																																										Chr3B	0.189	linear	0.727																																
JIN50	Chr3D		4724			1																																																										Chr3D	0.13	linear	0.954																																
JIN50	Chr4A		3388			1																																																										Chr4A	0.219	linear	0.725																																
JIN50	Chr4B		3587			1																																																										Chr4B	0.188	linear	0.787																																
JIN50	Chr4D		3547			1																																																										Chr4D	0.145	linear	0.989																																
JIN50	Chr5A		5219			1																																																										Chr5A	0.137	linear	0.952																																
JIN50	Chr5B		4982			1																																																										Chr5B	0.143	linear	0.895																																
JIN50	Chr5D		4367			1																																																										Chr5D	0.098	linear	0.74																																
JIN50	Chr6A		3728			1																																																										Chr6A	0.166	linear	0.955																																
JIN50	Chr6B		3553			1																																																										Chr6B	0.205	linear	0.713																																
JIN50	Chr6D		3732			1																																																										Chr6D	0.132	linear	0.967																																
JIN50	Chr7A		5118			1																																																										Chr7A	0.145	linear	0.944																																
JIN50	Chr7B		4395			1																																																										Chr7B	0.174	linear	0.881																																
JIN50	Chr7D		5144			1																																																										Chr7D	0.123	linear	0.969																																
MOV	Chr1A		3849			1																																																														Chr1A	0.155	linear	0.92																												
MOV	Chr1B		3609			1																																																														Chr1B	0.193	linear	0.773																												
MOV	Chr1D		2980			1																																																														Chr1D	0.163	linear	0.688																												
MOV	Chr2A		5047			1																																																														Chr2A	0.156	linear	0.782																												
MOV	Chr2B		4646			1																																																														Chr2B	0.173	linear	0.765																												
MOV	Chr2D		5078			1																																																														Chr2D	0.128	linear	0.762																												
MOV	Chr3A		4698			1																																																														Chr3A	0.161	linear	0.879																												
MOV	Chr3B		4558			1																																																														Chr3B	0.187	linear	0.752																												
MOV	Chr3D		4253			1																																																														Chr3D	0.143	linear	0.785																												
MOV	Chr4A		3759			1																																																														Chr4A	0.199	linear	0.753																												
MOV	Chr4B		3103			1																																																														Chr4B	0.217	linear	0.739																												
MOV	Chr4D		3159			1																																																														Chr4D	0.163	linear	0.713																												
MOV	Chr5A		4957			1																																																														Chr5A	0.143	linear	0.904																												
MOV	Chr5B		3886			1																																																														Chr5B	0.184	linear	0.708																												
MOV	Chr5D		4719			1																																																														Chr5D	0.12	linear	0.83																												
MOV	Chr6A		3308			1																																																														Chr6A	0.188	linear	0.814																												
MOV	Chr6B		3099			1																																																														Chr6B	0.236	linear	0.606																												
MOV	Chr6D		3309			1																																																														Chr6D	0.149	linear	0.83																												
MOV	Chr7A		4516			1																																																														Chr7A	0.165	linear	0.858																												
MOV	Chr7B		3934			1																																																														Chr7B	0.194	linear	0.843																												
MOV	Chr7D		4732			1																																																														Chr7D	0.136	pchip	0.765																												
CS_v1	Chr1A		4307			1																																																																		Chr1A	0.139	linear	0.989																								
CS_v1	Chr1B		4685			1																																																																		Chr1B	0.149	linear	0.993																								
CS_v1	Chr1D		4444			1																																																																		Chr1D	0.112	linear	0.987																								
CS_v1	Chr2A		5286			1																																																																		Chr2A	0.147	linear	0.915																								
CS_v1	Chr2B		5727			1																																																																		Chr2B	0.141	linear	0.847																								
CS_v1	Chr2D		5615			1																																																																		Chr2D	0.116	linear	0.973																								
CS_v1	Chr3A		5124			1																																																																		Chr3A	0.147	linear	0.981																								
CS_v1	Chr3B		5664			1																																																																		Chr3B	0.148	linear	0.963																								
CS_v1	Chr3D		5175			1																																																																		Chr3D	0.12	linear	0.965																								
CS_v1	Chr4A		4691			1																																																																		Chr4A	0.161	linear	0.887																								
CS_v1	Chr4B		3848			1																																																																		Chr4B	0.175	linear	0.992																								
CS_v1	Chr4D		3528			1																																																																		Chr4D	0.144	linear	0.977																								
CS_v1	Chr5A		5312			1																																																																		Chr5A	0.134	linear	0.974																								
CS_v1	Chr5B		5451			1																																																																		Chr5B	0.131	linear	0.986																								
CS_v1	Chr5D		5499			1																																																																		Chr5D	0.104	linear	0.99																								
CS_v1	Chr6A		4092			1																																																																		Chr6A	0.152	linear	0.989																								
CS_v1	Chr6B		4531			1																																																																		Chr6B	0.161	linear	0.976																								
CS_v1	Chr6D		3953			1																																																																		Chr6D	0.125	linear	0.987																								
CS_v1	Chr7A		5486			1																																																																		Chr7A	0.136	linear	0.987																								
CS_v1	Chr7B		4138			1																																																																		Chr7B	0.184	linear	0.749																								
CS_v1	Chr7D		5315			1																																																																		Chr7D	0.121	linear	0.987																								
Fielder	Chr1A		4084			1																																																																						Chr1A	0.147	linear	0.957																				
Fielder	Chr1B		4276			1																																																																						Chr1B	0.164	linear	0.932																				
Fielder	Chr1D		4074			1																																																																						Chr1D	0.12	linear	0.942																				
Fielder	Chr2A		5247			1																																																																						Chr2A	0.148	linear	0.881																				
Fielder	Chr2B		5393			1																																																																						Chr2B	0.15	linear	0.909																				
Fielder	Chr2D		5181			1																																																																						Chr2D	0.123	linear	0.929																				
Fielder	Chr3A		4552			1																																																																						Chr3A	0.164	linear	0.927																				
Fielder	Chr3B		5091			1																																																																						Chr3B	0.167	linear	0.849																				
Fielder	Chr3D		4199			1																																																																						Chr3D	0.147	linear	0.862																				
Fielder	Chr4A		3480			1																																																																						Chr4A	0.216	linear	0.746																				
Fielder	Chr4B		3684			1																																																																						Chr4B	0.183	linear	0.959																				
Fielder	Chr4D		3540			1																																																																						Chr4D	0.145	linear	0.99																				
Fielder	Chr5A		5230			1																																																																						Chr5A	0.136	linear	0.951																				
Fielder	Chr5B		5083			1																																																																						Chr5B	0.141	linear	0.906																				
Fielder	Chr5D		5257			1																																																																						Chr5D	0.108	linear	0.952																				
Fielder	Chr6A		3665			1																																																																						Chr6A	0.169	linear	0.95																				
Fielder	Chr6B		3630			1																																																																						Chr6B	0.201	linear	0.722																				
Fielder	Chr6D		3528			1																																																																						Chr6D	0.139	linear	0.948																				
Fielder	Chr7A		4931			1																																																																						Chr7A	0.151	linear	0.923																				
Fielder	Chr7B		4113			1																																																																						Chr7B	0.185	linear	0.788																				
Fielder	Chr7D		5240			1																																																																						Chr7D	0.123	linear	0.972																				
Kariega	Chr1A		3747			1																																																																										Chr1A	0.159	linear	0.923																
Kariega	Chr1B		3962			1																																																																										Chr1B	0.177	linear	0.81																
Kariega	Chr1D		4378			1																																																																										Chr1D	0.114	linear	0.977																
Kariega	Chr2A		5400			1																																																																										Chr2A	0.146	linear	0.889																
Kariega	Chr2B		5609			1																																																																										Chr2B	0.145	linear	0.935																
Kariega	Chr2D		5727			1																																																																										Chr2D	0.115	linear	0.977																
Kariega	Chr3A		4783			1																																																																										Chr3A	0.158	linear	0.945																
Kariega	Chr3B		5396			1																																																																										Chr3B	0.158	linear	0.922																
Kariega	Chr3D		4832			1																																																																										Chr3D	0.128	linear	0.952																
Kariega	Chr4A		3309			1																																																																										Chr4A	0.213	linear	0.72																
Kariega	Chr4B		3765			1																																																																										Chr4B	0.179	linear	0.97																
Kariega	Chr4D		3549			1																																																																										Chr4D	0.145	linear	0.99																
Kariega	Chr5A		5237			1																																																																										Chr5A	0.136	linear	0.951																
Kariega	Chr5B		5062			1																																																																										Chr5B	0.141	linear	0.9																
Kariega	Chr5D		5193			1																																																																										Chr5D	0.11	linear	0.947																
Kariega	Chr6A		3799			1																																																																										Chr6A	0.164	linear	0.962																
Kariega	Chr6B		3464			1																																																																										Chr6B	0.211	linear	0.662																
Kariega	Chr6D		3848			1																																																																										Chr6D	0.129	linear	0.979																
Kariega	Chr7A		4672			1																																																																										Chr7A	0.159	linear	0.875																
Kariega	Chr7B		4356			1																																																																										Chr7B	0.175	linear	0.897																
Kariega	Chr7D		5302			1																																																																										Chr7D	0.121	linear	0.98																
Attraktion	Chr1A		3414			1																																																																														Chr1A	0.168	linear	0.887												
Attraktion	Chr1B		3965			1																																																																														Chr1B	0.175	linear	0.878												
Attraktion	Chr1D		4314			1																																																																														Chr1D	0.116	linear	0.965												
Attraktion	Chr2A		5316			1																																																																														Chr2A	0.148	linear	0.891												
Attraktion	Chr2B		5170			1																																																																														Chr2B	0.157	linear	0.885												
Attraktion	Chr2D		5425			1																																																																														Chr2D	0.121	linear	0.943												
Attraktion	Chr3A		4993			1																																																																														Chr3A	0.151	linear	0.966												
Attraktion	Chr3B		5249			1																																																																														Chr3B	0.162	linear	0.894												
Attraktion	Chr3D		5106			1																																																																														Chr3D	0.121	linear	0.974												
Attraktion	Chr4A		3936			1																																																																														Chr4A	0.19	linear	0.805												
Attraktion	Chr4B		3341			1																																																																														Chr4B	0.199	linear	0.775												
Attraktion	Chr4D		3461			1																																																																														Chr4D	0.147	linear	0.967												
Attraktion	Chr5A		5175			1																																																																														Chr5A	0.137	linear	0.948												
Attraktion	Chr5B		4803			1																																																																														Chr5B	0.149	linear	0.839												
Attraktion	Chr5D		5323			1																																																																														Chr5D	0.107	linear	0.968												
Attraktion	Chr6A		3655			1																																																																														Chr6A	0.169	linear	0.945												
Attraktion	Chr6B		3471			1																																																																														Chr6B	0.211	linear	0.728												
Attraktion	Chr6D		3783			1																																																																														Chr6D	0.131	linear	0.958												
Attraktion	Chr7A		4908			1																																																																														Chr7A	0.152	linear	0.929												
Attraktion	Chr7B		4242			1																																																																														Chr7B	0.18	linear	0.82												
Attraktion	Chr7D		5191			1																																																																														Chr7D	0.124	linear	0.966												
Renan_v2	Chr1A		3735			1																																																																																		Chr1A	0.16	linear	0.842								
Renan_v2	Chr1B		3888			1																																																																																		Chr1B	0.18	linear	0.848								
Renan_v2	Chr1D		3947			1																																																																																		Chr1D	0.126	linear	0.88								
Renan_v2	Chr2A		4729			1																																																																																		Chr2A	0.166	linear	0.814								
Renan_v2	Chr2B		5101			1																																																																																		Chr2B	0.159	linear	0.854								
Renan_v2	Chr2D		4471			1																																																																																		Chr2D	0.143	linear	0.831								
Renan_v2	Chr3A		4374			1																																																																																		Chr3A	0.172	linear	0.868								
Renan_v2	Chr3B		5068			1																																																																																		Chr3B	0.168	linear	0.861								
Renan_v2	Chr3D		4862			1																																																																																		Chr3D	0.127	linear	0.911								
Renan_v2	Chr4A		3668			1																																																																																		Chr4A	0.206	linear	0.722								
Renan_v2	Chr4B		3315			1																																																																																		Chr4B	0.203	linear	0.728								
Renan_v2	Chr4D		3262			1																																																																																		Chr4D	0.158	linear	0.909								
Renan_v2	Chr5A		4892			1																																																																																		Chr5A	0.146	linear	0.883								
Renan_v2	Chr5B		4786			1																																																																																		Chr5B	0.149	linear	0.846								
Renan_v2	Chr5D		5054			1																																																																																		Chr5D	0.113	linear	0.906								
Renan_v2	Chr6A		3498			1																																																																																		Chr6A	0.178	linear	0.872								
Renan_v2	Chr6B		3548			1																																																																																		Chr6B	0.206	linear	0.706								
Renan_v2	Chr6D		3526			1																																																																																		Chr6D	0.14	linear	0.89								
Renan_v2	Chr7A		4556			1																																																																																		Chr7A	0.163	linear	0.851								
Renan_v2	Chr7B		3951			1																																																																																		Chr7B	0.193	linear	0.804								
Renan_v2	Chr7D		4668			1																																																																																		Chr7D	0.137	linear	0.871								
Paragon_v3	Chr1A		3813			1																																																																																						Chr1A	0.157	linear	0.925				
Paragon_v3	Chr1B		4197			1																																																																																						Chr1B	0.165	linear	0.908				
Paragon_v3	Chr1D		4321			1																																																																																						Chr1D	0.115	linear	0.971				
Paragon_v3	Chr2A		5416			1																																																																																						Chr2A	0.145	linear	0.907				
Paragon_v3	Chr2B		5477			1																																																																																						Chr2B	0.148	linear	0.915				
Paragon_v3	Chr2D		5588			1																																																																																						Chr2D	0.117	linear	0.967				
Paragon_v3	Chr3A		4982			1																																																																																						Chr3A	0.151	linear	0.972				
Paragon_v3	Chr3B		5455			1																																																																																						Chr3B	0.156	linear	0.932				
Paragon_v3	Chr3D		4737			1																																																																																						Chr3D	0.126	linear	0.955				
Paragon_v3	Chr4A		3465			1																																																																																						Chr4A	0.218	linear	0.736				
Paragon_v3	Chr4B		3533			1																																																																																						Chr4B	0.191	linear	0.769				
Paragon_v3	Chr4D		3530			1																																																																																						Chr4D	0.146	linear	0.988				
Paragon_v3	Chr5A		5228			1																																																																																						Chr5A	0.136	linear	0.951				
Paragon_v3	Chr5B		4998			1																																																																																						Chr5B	0.141	linear	0.89				
Paragon_v3	Chr5D		5421			1																																																																																						Chr5D	0.105	linear	0.979				
Paragon_v3	Chr6A		3897			1																																																																																						Chr6A	0.16	linear	0.971				
Paragon_v3	Chr6B		3733			1																																																																																						Chr6B	0.196	linear	0.716				
Paragon_v3	Chr6D		3882			1																																																																																						Chr6D	0.128	linear	0.983				
Paragon_v3	Chr7A		4971			1																																																																																						Chr7A	0.15	linear	0.924				
Paragon_v3	Chr7B		4434			1																																																																																						Chr7B	0.172	linear	0.897				
Paragon_v3	Chr7D		5312			1																																																																																						Chr7D	0.121	linear	0.982				
Cadenza_v2	Chr1A		3821			1																																																																																										Chr1A	0.157	linear	0.928
Cadenza_v2	Chr1B		4198			1																																																																																										Chr1B	0.166	linear	0.903
Cadenza_v2	Chr1D		4194			1																																																																																										Chr1D	0.119	linear	0.953
Cadenza_v2	Chr2A		5507			1																																																																																										Chr2A	0.143	linear	0.916
Cadenza_v2	Chr2B		5414			1																																																																																										Chr2B	0.15	linear	0.908
Cadenza_v2	Chr2D		5444			1																																																																																										Chr2D	0.12	linear	0.948
Cadenza_v2	Chr3A		5008			1																																																																																										Chr3A	0.151	linear	0.973
Cadenza_v2	Chr3B		5410			1																																																																																										Chr3B	0.157	linear	0.928
Cadenza_v2	Chr3D		4740			1																																																																																										Chr3D	0.126	linear	0.956
Cadenza_v2	Chr4A		3336			1																																																																																										Chr4A	0.226	linear	0.719
Cadenza_v2	Chr4B		3628			1																																																																																										Chr4B	0.186	linear	0.811
Cadenza_v2	Chr4D		3554			1																																																																																										Chr4D	0.145	linear	0.99
Cadenza_v2	Chr5A		5229			1																																																																																										Chr5A	0.136	linear	0.953
Cadenza_v2	Chr5B		5035			1																																																																																										Chr5B	0.142	linear	0.874
Cadenza_v2	Chr5D		5423			1																																																																																										Chr5D	0.105	linear	0.978
Cadenza_v2	Chr6A		3924			1																																																																																										Chr6A	0.159	linear	0.973
Cadenza_v2	Chr6B		3777			1																																																																																										Chr6B	0.194	linear	0.728
Cadenza_v2	Chr6D		3868			1																																																																																										Chr6D	0.128	linear	0.983
Cadenza_v2	Chr7A		4948			1																																																																																										Chr7A	0.15	linear	0.925
Cadenza_v2	Chr7B		4413			1																																																																																										Chr7B	0.173	linear	0.895
Cadenza_v2	Chr7D		5224			1																																																																																										Chr7D	0.123	linear	0.973
