cs_chr	tgt_chr	n_anchors	mean_anchor_gap_Mb	interp_type	n_segments	mean_anchor_fraction
Renan_v2	Chr3D	Chr3D	4862	0.127	linear	1	0.911
Renan_v2	Chr4A	Chr4A	3668	0.206	linear	1	0.722
Renan_v2	Chr4B	Chr4B	3315	0.203	linear	1	0.728
Renan_v2	Chr4D	Chr4D	3262	0.158	linear	1	0.909
Renan_v2	Chr5A	Chr5A	4892	0.146	linear	1	0.883
Renan_v2	Chr5B	Chr5B	4786	0.149	linear	1	0.846
Renan_v2	Chr5D	Chr5D	5054	0.113	linear	1	0.906
Renan_v2	Chr6A	Chr6A	3498	0.178	linear	1	0.872
Renan_v2	Chr6B	Chr6B	3548	0.206	linear	1	0.706
Renan_v2	Chr6D	Chr6D	3526	0.14	linear	1	0.89
Renan_v2	Chr7A	Chr7A	4556	0.163	linear	1	0.851
Renan_v2	Chr7B	Chr7B	3951	0.193	linear	1	0.804
Renan_v2	Chr7D	Chr7D	4668	0.137	linear	1	0.871
SY_Mattis	Chr1A	Chr1A	3735	0.16	linear	1	0.917
SY_Mattis	Chr1B	Chr1B	4184	0.167	linear	1	0.912
SY_Mattis	Chr1D	Chr1D	4318	0.115	linear	1	0.967
SY_Mattis	Chr2A	Chr2A	5018	0.157	linear	1	0.871
SY_Mattis	Chr2B	Chr2B	5258	0.154	linear	1	0.889
SY_Mattis	Chr2D	Chr2D	5444	0.121	linear	1	0.948
SY_Mattis	Chr3A	Chr3A	4920	0.153	linear	1	0.96
SY_Mattis	Chr3B	Chr3B	5341	0.16	linear	1	0.906
SY_Mattis	Chr3D	Chr3D	4758	0.13	linear	1	0.95
SY_Mattis	Chr4A	Chr4A	3987	0.189	linear	1	0.799
SY_Mattis	Chr4B	Chr4B	3599	0.186	linear	1	0.937
SY_Mattis	Chr4D	Chr4D	3437	0.147	linear	1	0.964
SY_Mattis	Chr5A	Chr5A	5120	0.139	linear	1	0.939
SY_Mattis	Chr5B	Chr5B+Chr7B	4650	0.157	linear+linear	2	0.82
SY_Mattis	Chr5D	Chr5D	5382	0.106	linear	1	0.976
SY_Mattis	Chr6A	Chr6A	3792	0.164	linear	1	0.956
SY_Mattis	Chr6B	Chr6B	3410	0.214	linear	1	0.691
SY_Mattis	Chr6D	Chr6D	3731	0.132	linear	1	0.952
SY_Mattis	Chr7A	Chr7A	4920	0.151	linear	1	0.921
SY_Mattis	Chr7B	Chr5B+Chr7B	4353	0.177	linear+linear	2	0.894
SY_Mattis	Chr7D	Chr7D	5185	0.124	linear	1	0.968
Spelt	Chr1A	Chr1A	4057	0.148	linear	1	0.922
Spelt	Chr1B	Chr1B	4141	0.169	linear	1	0.873
Spelt	Chr1D	Chr1D	4356	0.114	linear	1	0.972
Spelt	Chr2A	Chr2A	5149	0.153	linear	1	0.892
Spelt	Chr2B	Chr2B	5306	0.153	linear	1	0.902
Spelt	Chr2D	Chr2D	5626	0.116	linear	1	0.968
Spelt	Chr3A	Chr3A	4853	0.154	linear	1	0.94
Spelt	Chr3B	Chr3B	5289	0.161	linear	1	0.911
Spelt	Chr3D	Chr3D	4714	0.13	linear	1	0.95
Spelt	Chr4A	Chr4A	3750	0.201	linear	1	0.737
Spelt	Chr4B	Chr4B	3517	0.191	linear	1	0.785
Spelt	Chr4D	Chr4D	3517	0.146	linear	1	0.984
Spelt	Chr5A	Chr5A	5120	0.139	linear	1	0.923
Spelt	Chr5B	Chr5B	4966	0.143	linear	1	0.871
Spelt	Chr5D	Chr5D	5390	0.105	linear	1	0.977
Spelt	Chr6A	Chr6A	2636	0.196	linear	1	0.799
Spelt	Chr6B	Chr6B	3668	0.199	linear	1	0.726
Spelt	Chr6D	Chr6D	3162	0.14	linear	1	0.87
Spelt	Chr7A	Chr7A	4846	0.153	linear	1	0.911
Spelt	Chr7B	Chr7B	4136	0.183	linear	1	0.848
Spelt	Chr7D	Chr7D	5206	0.123	linear	1	0.971
Stanley	Chr1A	Chr1A	3915	0.151	linear	1	0.927
Stanley	Chr1B	Chr1B	4193	0.165	linear	1	0.91
Stanley	Chr1D	Chr1D	4259	0.117	linear	1	0.954
Stanley	Chr2A	Chr2A	4977	0.158	linear	1	0.854
Stanley	Chr2B	Chr2B	5392	0.15	linear	1	0.889
Stanley	Chr2D	Chr2D	5647	0.116	linear	1	0.969
Stanley	Chr3A	Chr3A	4915	0.153	linear	1	0.962
Stanley	Chr3B	Chr3B	5063	0.168	linear	1	0.839
Stanley	Chr3D	Chr3D	4150	0.147	linear	1	0.849
Stanley	Chr4A	Chr4A	3913	0.193	linear	1	0.789
Stanley	Chr4B	Chr4B	3503	0.192	linear	1	0.789
Stanley	Chr4D	Chr4D	3294	0.151	linear	1	0.945
Stanley	Chr5A	Chr5A	5142	0.139	linear	1	0.938
Stanley	Chr5B	Chr5B	4942	0.144	linear	1	0.865
Stanley	Chr5D	Chr5D	5432	0.105	linear	1	0.979
Stanley	Chr6A	Chr6A	3682	0.169	linear	1	0.912
Stanley	Chr6B	Chr6B	3754	0.195	linear	1	0.753
Stanley	Chr6D	Chr6D	3701	0.133	linear	1	0.929
Stanley	Chr7A	Chr7A	4547	0.164	linear	1	0.863
Stanley	Chr7B	Chr7B	4112	0.184	linear	1	0.871
Stanley	Chr7D	Chr7D	5218	0.123	linear	1	0.968
Sumai3	Chr1A	Chr1A	3880	0.154	linear	1	0.934
Sumai3	Chr1B	Chr1B	4343	0.161	linear	1	0.911
Sumai3	Chr1D	Chr1D	4390	0.114	linear	1	0.98
Sumai3	Chr2A	Chr2A	5446	0.144	linear	1	0.9
Sumai3	Chr2B	Chr2B	5663	0.143	linear	1	0.894
Sumai3	Chr2D	Chr2D	5667	0.115	linear	1	0.976
Sumai3	Chr3A	Chr3A	5001	0.151	linear	1	0.968
Sumai3	Chr3B	Chr3B	4738	0.179	linear	1	0.772
Sumai3	Chr3D	Chr3D	4729	0.13	linear	1	0.955
Sumai3	Chr4A	Chr4A	3748	0.2	linear	1	0.771
Sumai3	Chr4B	Chr4B	3571	0.189	linear	1	0.796
Sumai3	Chr4D	Chr4D	3491	0.147	linear	1	0.979
Sumai3	Chr5A	Chr5A	5286	0.135	linear	1	0.979
Sumai3	Chr5B	Chr5B	5189	0.138	linear	1	0.894
Sumai3	Chr5D	Chr5D	5464	0.104	linear	1	0.986
Sumai3	Chr6A	Chr6A	3925	0.159	linear	1	0.971
Sumai3	Chr6B	Chr6B	3925	0.186	linear	1	0.83
Sumai3	Chr6D	Chr6D	3860	0.128	linear	1	0.982
Sumai3	Chr7A	Chr7A	4933	0.151	linear	1	0.923
Sumai3	Chr7B	Chr7B	4361	0.175	linear	1	0.903
Sumai3	Chr7D	Chr7D	5067	0.126	linear	1	0.965
